,MDS_x,MDS_y,Entity,Continent,tSNE_x,tSNE_y,KMeans3,SpectralClustering4,AgglomerativeClustering3
0,3.607528215613229,-3.27089041581243,Albania,Europe,6.641146,2.7316597,0,2,1
21,2.0373634381502774,0.22556201037261275,Algeria,Africa,3.3378515,6.2682915,0,2,0
42,2.7713677095268965,2.131354216795963,Angola,Africa,0.5129317,6.2701163,0,2,0
63,-0.541192996909827,-6.916705265350172,Antigua and Barbuda,North America,8.005424,-0.7477963,2,1,1
84,-1.0920169599898308,-0.5124385265795595,Argentina,South America,3.2849271,-0.8066632,0,0,0
105,3.042623958208256,-0.4659426021547632,Armenia,Asia,3.8401904,6.0920067,0,2,0
126,-6.662117160221879,-1.097882919131332,Australia,Oceania,4.177856,-6.2916503,1,0,2
147,-8.489197174463095,-4.219882858179526,Austria,Europe,5.739094,-7.162888,1,0,2
168,1.780337098181909,1.782410887790889,Azerbaijan,Asia,0.03772956,5.7398343,0,2,0
189,-5.600406618429514,-13.440083884051425,Bahamas,North America,7.6750083,-3.766162,2,1,1
210,3.494419362921135,5.525418807692802,Bangladesh,Asia,-6.7209487,5.807132,0,2,0
231,0.2272315415315891,-1.5986441841754944,Barbados,North America,4.5717025,0.66203064,0,2,0
252,0.7648062280551822,2.2572012634795198,Belarus,Europe,-0.48283377,6.3868384,0,2,0
273,2.697528889707373,-12.174812981089731,Belize,North America,9.191573,-0.021992717,2,1,1
294,3.579210433926253,4.220588155749407,Benin,Africa,-4.86367,6.061123,0,2,0
315,2.8765404826604555,0.21561701575500178,Bolivia,South America,2.4050386,3.693612,0,2,0
336,2.076863320669804,0.470368686558093,Bosnia and Herzegovina,Europe,3.455064,6.5818014,0,2,0
357,0.5836080161729176,3.197061260120165,Botswana,Africa,-2.2146025,2.2134318,0,2,0
378,1.0030667282222514,-2.126311082555959,Brazil,South America,5.1763825,1.1959213,0,2,0
399,0.2505836338967564,3.174479327921623,Bulgaria,Europe,-1.6696935,1.6741371,0,2,0
420,3.6559904454606484,6.680634697569975,Burkina Faso,Africa,-8.227719,6.3736,0,2,0
441,3.5059631006869934,5.07717569708915,Cambodia,Asia,-6.1864834,5.8621845,0,2,0
462,3.80545941093441,-0.7944819892516719,Cameroon,Africa,3.7198863,3.9338272,0,2,0
483,-6.461473970384348,-3.6511876471665192,Canada,North America,5.450149,-6.1460276,1,0,2
504,2.991027646612949,2.1826016109698205,Cape Verde,Africa,-0.33685115,5.528294,0,2,0
525,4.063634433497866,3.3192683205625553,Central African Republic,Africa,-3.5117824,6.6730666,0,2,0
546,3.713379027920406,6.421723797838614,Chad,Africa,-7.5971365,6.894136,0,2,0
567,-0.7761468372636974,2.144321514073501,Chile,South America,0.38885635,-0.036978856,0,2,0
588,2.76304326418303,1.1467899553151342,China,Asia,2.0802581,6.476811,0,2,0
609,2.496861056077518,-4.501247197365757,Colombia,South America,7.0325723,1.9817386,2,2,1
630,3.1462743762466108,2.1765373338912104,Congo,Africa,-0.36648288,4.661925,0,2,0
651,0.4965175665645544,-4.340911880853555,Costa Rica,North America,6.569502,0.48391217,2,1,1
672,3.5221051527349325,0.3229830570492047,Cote d'Ivoire,Africa,2.1315527,3.8834512,0,2,0
693,-1.5366875328583172,-0.6740348736235883,Croatia,Europe,3.0886872,-1.1843454,0,0,0
714,-4.8876439392294015,-1.2875148591579109,Cyprus,Europe,4.066142,-5.137517,1,0,2
735,-3.6840857578768147,1.2429069008537772,Czechia,Europe,2.3204172,-3.1015122,1,0,2
756,-8.93701958898631,-2.3250470384013457,Denmark,Europe,4.8573613,-7.50051,1,0,2
777,2.440921203410952,-23.4758223485925,Dominica,North America,0.03302468,-4.963965,2,1,1
798,3.5439416028048356,-10.327475108562817,Dominican Republic,North America,8.743295,1.9935087,2,1,1
819,2.0639676846326447,-6.814386865621179,Ecuador,South America,8.080425,-0.10883471,2,1,1
840,2.165641141853771,-1.5222307633055332,Egypt,Africa,4.7147703,2.370235,0,2,0
861,2.40002220400957,1.9936240145748105,El Salvador,North America,-0.54498875,4.779238,0,2,0
882,-2.213688483912015,0.6572244416842208,Estonia,Europe,2.1078572,-1.7575804,0,0,0
903,2.9827530172144217,0.630679870959315,Eswatini,Africa,2.6979654,6.2637396,0,2,0
924,3.8060155501624164,6.621083187145024,Ethiopia,Africa,-7.9578648,6.846064,0,2,0
945,1.381306434902619,4.240689945647018,Fiji,Oceania,-3.6126041,3.0631475,0,2,0
966,-6.921905800974613,-0.4504810425817595,Finland,Europe,3.8476775,-6.4425874,1,0,2
987,-6.325905169423115,-1.9070174134566018,France,Europe,4.6311026,-6.157994,1,0,2
1008,0.28923866063811443,-5.767007388037802,Gabon,Africa,7.569544,0.045480873,2,1,1
1029,3.49730206446353,6.635382591814612,Gambia,Africa,-8.149887,6.0140853,0,2,0
1050,1.9822923791764762,3.480471002703901,Georgia,Asia,-2.9169822,3.9493744,0,2,0
1071,-7.59281694173167,-0.3662822408159404,Germany,Europe,3.9346268,-7.0188603,1,0,2
1092,4.588244458350539,-6.014767505956379,Ghana,Africa,8.090011,1.7901801,2,1,1
1113,-3.7080110239879023,-5.441214599140176,Greece,Europe,6.0938487,-4.4532585,1,3,2
1134,1.0355162209386664,-5.815387978028767,Grenada,North America,7.523253,0.03311752,2,1,1
1155,2.4452045617394877,1.6563292448643863,Guatemala,North America,0.1917502,4.5303116,0,2,0
1176,4.108176015863332,-1.2806989826652952,Guinea,Africa,3.7489939,3.698054,0,2,0
1197,3.8764934168102867,2.8812957465219213,Guinea-Bissau,Africa,-2.5840883,6.283332,0,2,0
1218,1.832174154678025,2.0018356219122917,Guyana,South America,-0.51972204,3.6211462,0,2,0
1239,4.060473902791218,0.05915145071173855,Haiti,North America,2.8059943,4.6941814,0,2,0
1260,3.2591382861937097,1.2152758250113518,Honduras,North America,1.089259,4.4184456,0,2,0
1281,-7.620041280318995,0.05579693846629762,Hong Kong,Asia,3.6566844,-7.0193872,1,0,2
1302,-1.8770606990352583,1.3149922909177232,Hungary,Europe,1.412465,-1.3131325,0,2,0
1323,-7.77824620868313,-2.8884912271293195,Iceland,Europe,5.1643124,-6.9416347,1,0,2
1344,3.3255874789932762,3.283086298433001,India,Asia,-3.2271402,5.680338,0,2,0
1365,2.353168145499412,2.448566550909208,Indonesia,Asia,-0.8600673,5.3301687,0,2,0
1386,1.410948627666361,-5.664757910909273,Iran,Asia,7.639366,0.41279685,2,1,1
1407,1.972651348728966,3.858185906975249,Iraq,Asia,-3.5115047,3.9155743,0,2,0
1428,-10.335959224012019,-2.296557911661187,Ireland,Europe,5.4822865,-7.9892273,1,0,2
1449,-4.205415158959578,-4.639603210605453,Israel,Asia,5.8469915,-4.7586536,1,3,2
1470,-6.518245726805318,-5.345126852164251,Italy,Europe,6.085728,-6.0251846,1,0,2
1491,2.018524467439828,-3.694706036205034,Jamaica,North America,6.6782494,0.5294636,2,1,1
1512,-5.478152330105414,2.5546458432312256,Japan,Asia,2.4521074,-4.465433,1,0,2
1533,1.5513513402895844,2.6435486127442194,Jordan,Asia,-1.7236223,3.7182832,0,2,0
1554,-0.5858325550322149,4.047861810118462,Kazakhstan,Asia,-1.4503804,0.74704397,0,2,0
1575,3.5388093894842907,2.39109877517547,Kenya,Africa,-1.6477101,5.7713733,0,2,0
1596,3.888294249679826,1.2837726198307224,Kiribati,Oceania,1.3687553,4.890949,0,2,0
1617,-11.901008037691279,0.289004633837001,Kuwait,Asia,4.180332,-8.506112,1,0,2
1638,3.2165865252988954,4.561079129610927,Kyrgyzstan,Asia,-5.508391,5.593804,0,2,0
1659,4.884980520683479,0.4847006064525286,Laos,Asia,2.4433074,7.1800523,0,2,0
1680,-1.044866004591087,2.7717967166944004,Latvia,Europe,-0.7100144,7.488515,0,2,0
1701,0.08281365639645286,-4.248587633061016,Lebanon,Asia,6.697119,-0.52028096,2,1,1
1722,3.5464086996102475,5.727865930524884,Lesotho,Africa,-7.044646,6.3483973,0,2,0
1743,-1.782398918251529,1.9191424086798083,Lithuania,Europe,0.8251325,-1.2104837,0,2,0
1764,-20.939233443075963,2.709101124860438,Macao,Asia,5.251177,-9.3524885,1,3,2
1785,3.8873380598185796,3.366060799297452,Madagascar,Africa,-3.5783696,6.418632,0,2,0
1806,4.68596797187655,0.8919240528887498,Malawi,Africa,2.2197354,5.842384,0,2,0
1827,-0.8160567089844679,2.8773225173555597,Malaysia,Asia,-0.37126026,0.23743749,0,2,0
1848,0.31345711722531705,-0.6076043497772887,Maldives,Asia,3.52937,0.72754705,0,2,0
1869,3.761351803442429,4.61445318164403,Mali,Africa,-5.5507374,6.340511,0,2,0
